release date,sentiment_value
2000-02-02,0.856
2000-03-10,-0.7
2000-03-21,0.778
2000-03-23,1.0
2000-05-16,0.888
2000-05-18,1.0
2000-06-28,-0.022
2000-06-29,1.0
2000-08-22,0.402
2000-08-24,1.0
2000-10-03,0.718
2000-10-05,1.0
2000-11-15,-0.004
2000-11-16,1.0
2000-12-19,0.743
2000-12-21,1.0
2001-01-03,0.681
2001-01-31,0.937
2001-02-01,1.0
2001-03-20,0.802
2001-03-22,1.0
2001-04-18,0.937
2001-05-15,0.969
2001-05-17,1.0
2001-06-27,0.859
2001-06-28,1.0
2001-08-21,0.935
2001-08-23,1.0
2001-09-11,-1.0
2001-09-17,0.612
2001-10-02,0.66
2001-10-04,1.0
2001-11-06,0.818
2001-11-08,0.999
2001-12-11,0.913
2001-12-13,0.994
2002-01-30,0.743
2002-01-31,0.999
2002-03-19,0.691
2002-03-21,1.0
2002-05-07,0.743
2002-05-09,1.0
2002-06-26,0.943
2002-06-27,1.0
2002-08-13,0.402
2002-08-15,1.0
2002-09-24,0.228
2002-09-26,1.0
2002-10-09,-0.6
2002-11-06,0.957
2002-11-07,1.0
2002-12-10,0.914
2002-12-12,1.0
2003-01-29,0.866
2003-01-30,1.0
2003-03-18,0.773
2003-03-20,-0.8
2003-03-20,1.0
2003-05-06,0.765
2003-05-08,0.999
2003-06-25,0.957
2003-06-26,1.0
2003-08-12,0.34
2003-08-14,1.0
2003-09-16,0.318
2003-09-18,1.0
2003-10-28,-0.006
2003-10-30,1.0
2003-12-09,0.558
2003-12-11,1.0
2004-01-28,0.587
2004-01-29,1.0
2004-03-16,-0.032
2004-03-18,1.0
2004-05-04,0.832
2004-05-06,1.0
2004-06-30,0.973
2004-07-01,1.0
2004-08-10,0.983
2004-08-12,1.0
2004-09-21,0.98
2004-09-23,1.0
2004-11-10,0.972
2004-11-11,1.0
2004-12-14,0.972
2004-12-16,1.0
2005-01-04,1.0
2005-02-02,0.972
2005-02-23,1.0
2005-03-22,0.974
2005-04-12,1.0
2005-05-03,0.976
