FearGreed_Value,FearGreed_Label,Date,time_until_update
58,Greed,2023-02-04,
58,Greed,2023-02-05,
56,Greed,2023-02-06,
54,Neutral,2023-02-07,
58,Greed,2023-02-08,
55,Greed,2023-02-09,
48,Neutral,2023-02-10,
49,Neutral,2023-02-11,
50,Neutral,2023-02-12,
48,Neutral,2023-02-13,
50,Neutral,2023-02-14,
53,Neutral,2023-02-15,
62,Greed,2023-02-16,
61,Greed,2023-02-17,
60,Greed,2023-02-18,
60,Greed,2023-02-19,
58,Greed,2023-02-20,
60,Greed,2023-02-21,
59,Greed,2023-02-22,
56,Greed,2023-02-23,
53,Neutral,2023-02-24,
52,Neutral,2023-02-25,
51,Neutral,2023-02-26,
50,Neutral,2023-02-27,
53,Neutral,2023-02-28,
50,Neutral,2023-03-01,
51,Neutral,2023-03-02,
50,Neutral,2023-03-03,
50,Neutral,2023-03-04,
47,Neutral,2023-03-05,
48,Neutral,2023-03-06,
49,Neutral,2023-03-07,
50,Neutral,2023-03-08,
44,Fear,2023-03-09,
34,Fear,2023-03-10,
33,Fear,2023-03-11,
33,Fear,2023-03-12,
49,Neutral,2023-03-13,
56,Greed,2023-03-14,
50,Neutral,2023-03-15,
52,Neutral,2023-03-16,
51,Neutral,2023-03-17,
64,Greed,2023-03-18,
63,Greed,2023-03-19,
66,Greed,2023-03-20,
68,Greed,2023-03-21,
62,Greed,2023-03-22,
57,Greed,2023-03-23,
61,Greed,2023-03-24,
64,Greed,2023-03-25,
64,Greed,2023-03-26,
64,Greed,2023-03-27,
59,Greed,2023-03-28,
57,Greed,2023-03-29,
60,Greed,2023-03-30,
63,Greed,2023-03-31,
61,Greed,2023-04-01,
63,Greed,2023-04-02,
63,Greed,2023-04-03,
62,Greed,2023-04-04,
62,Greed,2023-04-05,
63,Greed,2023-04-06,
64,Greed,2023-04-07,
61,Greed,2023-04-08,
61,Greed,2023-04-09,
62,Greed,2023-04-10,
68,Greed,2023-04-11,
65,Greed,2023-04-12,
61,Greed,2023-04-13,
68,Greed,2023-04-14,
68,Greed,2023-04-15,
68,Greed,2023-04-16,
69,Greed,2023-04-17,
58,Greed,2023-04-18,
63,Greed,2023-04-19,
52,Neutral,2023-04-20,
50,Neutral,2023-04-21,
53,Neutral,2023-04-22,
56,Greed,2023-04-23,
53,Neutral,2023-04-24,
53,Neutral,2023-04-25,
56,Greed,2023-04-26,
59,Greed,2023-04-27,
64,Greed,2023-04-28,
64,Greed,2023-04-29,
60,Greed,2023-04-30,
63,Greed,2023-05-01,
55,Greed,2023-05-02,
64,Greed,2023-05-03,
64,Greed,2023-05-04,
61,Greed,2023-05-05,
60,Greed,2023-05-06,
64,Greed,2023-05-07,
60,Greed,2023-05-08,
51,Neutral,2023-05-09,
52,Neutral,2023-05-10,
52,Neutral,2023-05-11,
